From: reid@decwrl.DEC.COM (Brian Reid)
Subject: USENET Readership report for Mar 95
Date: 1 Apr 1995 07:52:15 -0800
Organization: DEC Network Systems Laboratory
Message-ID: <LOC.3ljsrf$aeb@usenet.pa.dec.com>

This is the full set of data from the USENET readership report for Mar 95.
Explanations of the figures are in a companion posting.

        +-- Estimated total number of people who read the group, worldwide.
        |     +-- Actual number of readers in sampled population
        |     |     +-- Propagation: how many sites receive this group at all
        |     |     |      +-- Recent traffic (messages per month)
 329  68000   370   70%  1110     1.4    50%  0.02   0.6%  soc.college 
 330  68000   368   70%  3956     6.4    23%  0.07   0.6%  soc.culture.asian.american 
 331  68000   350   74%   802     1.3    12%  0.02   0.6%  rec.food.drink 
 332  68000   344   76%  1907     2.7     6%  0.03   0.6%  misc.taxes 
 333  68000   339   76%   721     1.0    14%  0.01   0.5%  sci.math.num-analysis 
 334  68000   333   78%     9     0.0    44%  0.00   0.5%  comp.archives.admin 
 335  68000   327   79%   287     0.3    18%  0.00   0.5%  comp.periphs 
 336  68000   311   84%   109     0.2     4%  0.00   0.5%  news.software.anu-news 
 337  68000   309   84%   103     0.2     8%  0.00   0.5%  news.software.nn 
 338  67000   422   60%   695     0.1   100%  0.00   0.7%  rec.answers 
 339  67000   359   71%  3660     4.5    18%  0.05   0.6%  soc.culture.british 
 340  67000   347   73%  1667     3.6     3%  0.04   0.6%  rec.games.board 
 341  67000   341   75%   499     0.4    40%  0.01   0.5%  gnu.misc.discuss 
 342  67000   327   78%  1123     1.8    13%  0.02   0.5%  comp.lang.smalltalk 
 343  67000   315   82%   190     0.3    12%  0.00   0.5%  comp.unix.internals 
 344  66000   445   56%  1533     3.0     5%  0.03   0.7%  alt.dreams 
 345  66000   422   59%   263     0.3    15%  0.00   0.7%  alt.graphics.pixutils 
 346  66000   416   61%  1785     1.5    36%  0.02   0.7%  alt.rock-n-roll 
 347  66000   394   64%  5584     8.9     6%  0.09   0.6%  rec.games.video.nintendo 
 348  66000   332   75%  1535     2.6    41%  0.03   0.5%  sci.econ 
 349  66000   324   78%    82     0.1     8%  0.00   0.5%  comp.ai.shells 
 350  66000   321   79%  1352     2.2    17%  0.03   0.5%  comp.lang.fortran 
 351  66000   312   81%   102     0.1    50%  0.00   0.5%  news.future 
 352  65000   499   50%   198     0.5     0%  0.00   0.8%  alt.humor.best-of-usenet 
 353  65000   488   51%   848     0.8    54%  0.01   0.8%  misc.forsale.computers.pc-clone 
 354  65000   358   69%  2902     3.9    13%  0.05   0.6%  comp.sys.ibm.pc.hardware.storage 
 355  65000   355   70%  1378     2.2    11%  0.03   0.6%  comp.graphics.algorithms 
 356  65000   342   72%  1470     2.4     4%  0.03   0.5%  rec.puzzles 
 357  65000   335   74%  3322     5.1     2%  0.06   0.5%  rec.scuba 
 358  65000   324   77%   227     0.8    10%  0.01   0.5%  comp.benchmarks 
 359  65000   324   76%  1517     2.9     4%  0.04   0.5%  comp.lang.tcl 
 360  65000   323   77%   264     0.8     1%  0.01   0.5%  comp.parallel 
 361  65000   319   77%   219     0.9    13%  0.01   0.5%  comp.groupware 
 362  65000   311   79%   354     0.3    33%  0.00   0.5%  comp.sys.sun.apps 
 363  65000   298   83%    41     0.1    15%  0.00   0.5%  news.admin.technical 
 364  64000   678   36%    25     0.0    50%  0.00   1.1%  rec.arts.startrek 
 365  64000   567   43%  1587    17.5     4%  0.13   0.9%  alt.pantyhose 
 366  64000   500   49%  1180     2.1     2%  0.02   0.8%  comp.infosystems.www.announce 
 367  64000   400   61%  2396     3.8    18%  0.04   0.6%  alt.security.pgp 
 368  64000   369   66%  1359     0.7    60%  0.01   0.6%  talk.rumors 
 369  64000   352   69%  3191     4.6    13%  0.05   0.6%  rec.sport.football.pro 
 370  64000   349   70%  1913     2.7    17%  0.03   0.6%  rec.arts.sf.movies 
 371  64000   345   71%  5551     6.8    18%  0.08   0.6%  comp.os.os2.setup 
 372  64000   325   75%   346     0.4    18%  0.01   0.5%  comp.archives.msdos.d 
 373  64000   324   75%  2405     2.7     4%  0.03   0.5%  comp.sys.amiga.marketplace 
 374  64000   311   78%   368     0.8    41%  0.01   0.5%  comp.lang.lisp 
 375  64000   302   81%   887     1.1    17%  0.01   0.5%  comp.sys.dec 
 376  63000   498   48%   988     1.6     6%  0.01   0.8%  alt.supermodels 
 377  63000   446   54%   196     0.2    43%  0.00   0.7%  alt.binaries.sounds.d 
 378  63000   419   57%  1042     1.6    18%  0.02   0.7%  alt.bbs.allsysop 
 379  63000   419   57%  1006     1.2    11%  0.01   0.7%  alt.3d 
 380  63000   347   69%  5786    10.4     6%  0.12   0.6%  rec.sport.basketball.pro 
 381  63000   338   71%  1205     1.5    23%  0.02   0.5%  misc.forsale.computers.workstation 
 382  63000   329   73%  3084     4.0     8%  0.05   0.5%  rec.music.folk 
 383  63000   318   76%   343     0.3    52%  0.00   0.5%  sci.misc 
 384  63000   314   77%  1156     2.1    19%  0.03   0.5%  sci.energy 
 385  63000   314   76%   446     0.7    10%  0.01   0.5%  comp.editors 
 386  63000   311   77%  1602     2.9     7%  0.04   0.5%  comp.periphs.printers 
 387  63000   311   77%     2     0.0     0%  0.00   0.5%  comp.windows.x.announce 
 388  63000   305   78%   154     0.1    42%  0.00   0.5%  comp.os.misc 
 389  62000   628   37%   665     0.2    89%  0.00   1.0%  alt.politics.media 
 390  62000   399   60%  2663     6.6    33%  0.07   0.6%  alt.slack 
 391  62000   352   67%  2803     3.4    29%  0.04   0.6%  comp.sys.powerpc 
 392  62000   332   71%   328     0.3    11%  0.00   0.5%  soc.net-people 
 393  62000   329   72%  1031     1.7    19%  0.02   0.5%  comp.bbs.misc 
 394  62000   329   71%  6205    11.5     1%  0.14   0.5%  rec.martial-arts 
 395  62000   321   73%  4059     6.8     4%  0.09   0.5%  rec.railroad 
 396  62000   314   75%  1299     2.3    18%  0.03   0.5%  sci.lang 
 397  62000   312   75%   481     2.0     3%  0.03   0.5%  sci.med.aids 
 398  62000   308   77%  1440     2.1     7%  0.03   0.5%  comp.os.ms-windows.programmer.win32 
 399  62000   307   77%    15     0.2     0%  0.00   0.5%  comp.sys.sun.announce 
 400  62000   306   77%   337     0.5    21%  0.01   0.5%  comp.windows.x.apps 
 401  62000   302   78%  1495     2.7     5%  0.04   0.5%  comp.dcom.isdn 
 402  61000   443   52%  5281     3.9    60%  0.04   0.7%  biz.jobs.offered 
 403  61000   373   62%  2184     4.2     4%  0.05   0.6%  soc.bi 
 404  61000   312   74%   738     1.1    21%  0.01   0.5%  comp.windows.x.i386unix 
 405  60000   427   53%  1175     3.5     6%  0.03   0.7%  alt.best.of.internet 
 406  60000   344   66%  1925     3.8     2%  0.05   0.6%  rec.arts.bodyart 
 407  60000   332   69%   161     1.3     0%  0.02   0.5%  misc.news.southasia 
 408  60000   327   69%  1437     1.2    38%  0.02   0.5%  rec.arts.fine 
 409  60000   325   70%  3530     6.5     2%  0.08   0.5%  rec.gambling 
 410  60000   323   71%  1913     2.5    14%  0.03   0.5%  rec.arts.animation 
 411  60000   320   72%  4944     6.8     2%  0.09   0.5%  rec.music.beatles 
 412  60000   319   72%   729     1.1    12%  0.01   0.5%  comp.client-server 
 413  60000   317   73%   391     0.4    58%  0.01   0.5%  misc.books.technical 
 414  60000   311   73%  4833     6.7     8%  0.09   0.5%  rec.music.bluenote 
 415  60000   304   75%   330     0.8    19%  0.01   0.5%  comp.theory 
 416  60000   302   76%   693     0.8    51%  0.01   0.5%  sci.research 
 417  60000   301   76%  1448     2.1    10%  0.03   0.5%  comp.databases.sybase 
 418  60000   299   77%   540     1.0     8%  0.01   0.5%  sci.math.symbolic 
 419  60000   298   76%   324     0.5    33%  0.01   0.5%  sci.logic 
 420  60000   287   79%   183     0.3    31%  0.00   0.5%  comp.text 
 421  60000   286   80%   309     0.4    16%  0.01   0.5%  comp.protocols.nfs 
 422  60000   282   81%   607     1.0    10%  0.02   0.5%  comp.protocols.ppp 
 423  59000   401   56%  2049     2.2    15%  0.02   0.6%  alt.internet.access.wanted 
 424  59000   331   67%  2975     1.5    76%  0.02   0.5%  soc.culture.usa 
 425  59000   326   69%  2587     4.9    17%  0.06   0.5%  soc.culture.german 
 426  59000   324   70%  1748     2.1    38%  0.03   0.5%  soc.history 
 427  59000   321   70%  2168     3.9     9%  0.05   0.5%  soc.culture.celtic 
 428  59000   320   70%  1326     1.7    17%  0.02   0.5%  rec.pyrotechnics 
 429  59000   318   70%  1140     3.2    12%  0.04   0.5%  soc.culture.african 
 430  59000   304   74%   707     0.7     8%  0.01   0.5%  rec.games.misc 
 431  59000   293   77%  2076     3.2     4%  0.05   0.5%  comp.sys.amiga.games 
 432  59000   289   77%     1     0.0     0%  0.00   0.5%  comp.sys.ibm.pc.digest 
 433  59000   286   79%  1281     2.1    13%  0.03   0.5%  comp.dcom.sys.cisco 
 434  59000   286   78%    92     0.6     0%  0.01   0.5%  comp.doc.techreports 
 435  59000   285   79%    48     0.1     0%  0.00   0.5%  comp.sources.games.bugs 
 436  59000   284   79%   488     0.3    32%  0.00   0.5%  comp.sys.sun.wanted 
 437  59000   282   79%  1008     1.8    13%  0.03   0.5%  comp.std.c++ 
 438  59000   276   82%   313     0.5    16%  0.01   0.4%  comp.std.c 
 439  58000   482   46%  8316    12.1     3%  0.11   0.8%  alt.tv.x-files 
 440  58000   374   59%  1480    10.5     4%  0.12   0.6%  alt.startrek.creative 
 441  58000   363   61%     -       -      -     -   0.6%  misc.answers 
 442  58000   329   67%  5784    11.9    27%  0.15   0.5%  talk.abortion 
 443  58000   320   69%  6403    12.1    17%  0.16   0.5%  soc.culture.african.american 
 444  58000   305   72%  1585     2.1     4%  0.03   0.5%  rec.birds 
 445  58000   290   77%  2750     3.9     6%  0.06   0.5%  comp.sys.amiga.hardware 
 446  58000   282   78%   113     0.3     9%  0.00   0.5%  comp.org.ieee 
 447  58000   278   79%   613     0.9    20%  0.01   0.4%  comp.dcom.fax 
 448  58000   272   81%  4363    11.6    12%  0.18   0.4%  misc.test 
 449  57000   339   64%  4728     6.3    10%  0.08   0.5%  rec.games.video.sega 
 450  57000   324   67%  5635     9.2     2%  0.12   0.5%  rec.sport.golf 
 451  57000   320   68%  7208    22.0     6%  0.29   0.5%  soc.culture.vietnamese 
 452  57000   318   68%  2929     4.4     4%  0.06   0.5%  rec.sport.football.college 
 453  57000   317   69%  2124     3.1    39%  0.04   0.5%  soc.culture.taiwan 
 454  57000   312   70%  1834     5.0     1%  0.07   0.5%  soc.religion.christian 
 455  57000   311   69%  2701     7.8    24%  0.10   0.5%  soc.culture.greek 
 456  57000   310   70%  2805     4.8    19%  0.06   0.5%  rec.arts.sf.tv 
 457  57000   293   74%  1255     1.9    13%  0.03   0.5%  comp.dcom.telecom.tech 
 458  57000   278   79%   709     1.1     3%  0.02   0.4%  comp.sys.mac.hypercard 
 459  56000  2175    9%  1947     1.7     5%  0.00   3.5%  ott.forsale 
 460  56000   365   58%  1346     1.3    60%  0.01   0.6%  alt.cyberspace 
 461  56000   360   59%  1428     2.8    18%  0.03   0.6%  alt.msdos.programmer 
 462  56000   360   59%  1405     2.2    12%  0.03   0.6%  alt.bbs.ads 
 463  56000   319   67%  8502    13.3    12%  0.17   0.5%  rec.arts.comics.misc 
 464  56000   313   68%  2544     2.7    62%  0.04   0.5%  talk.philosophy.misc 
 465  56000   312   68% 14802    24.5     2%  0.32   0.5%  rec.sport.basketball.college 
 466  56000   312   68%   926     1.2    15%  0.02   0.5%  comp.sys.ibm.pc.hardware.comm 
 467  56000   309   69%  3327     6.2     3%  0.08   0.5%  rec.crafts.brewing 
 468  56000   305   69%  3769     6.5     6%  0.09   0.5%  rec.music.industrial 
 469  56000   290   74%   295     0.5     8%  0.01   0.5%  comp.infosystems.gopher 
 470  56000   284   75%  1708     3.0     2%  0.04   0.5%  comp.infosystems.gis 
 471  56000   283   75%  2310     4.5     8%  0.07   0.5%  comp.sys.amiga.advocacy 
 472  56000   267   80%   301     0.3    48%  0.00   0.4%  comp.dcom.lans.misc 
 473  56000   267   80%   233     0.7    14%  0.01   0.4%  comp.protocols.tcp-ip.domains 
 474  56000   261   82%   131     0.2    38%  0.00   0.4%  comp.mail.headers 
 475  56000   260   82%   336     0.7    13%  0.01   0.4%  comp.unix.ultrix 
 476  55000   492   42%   400     0.3    36%  0.00   0.8%  alt.fan.mst3k 
 477  55000   491   43%  1388    26.3     7%  0.22   0.8%  alt.binaries.pictures.cartoons 
 478  55000   363   58%  5747    11.6     1%  0.13   0.6%  alt.callahans 
 479  55000   352   60%   312     0.5    14%  0.01   0.6%  alt.cyberpunk.tech 
 480  55000   307   68%  3987     7.3    23%  0.10   0.5%  soc.culture.pakistan 
 481  55000   303   69%  3298     5.0    20%  0.07   0.5%  soc.culture.korean 
 482  55000   298   71%  3388     5.0     2%  0.07   0.5%  comp.databases.ms-access 
 483  55000   292   71%  3545     4.0    21%  0.06   0.5%  rec.arts.tv.uk 
 484  55000   289   72%   305     0.7    35%  0.01   0.5%  comp.ai.fuzzy 
 485  55000   287   73%  1335     2.6     0%  0.04   0.5%  rec.audio.high-end 
 486  55000   274   77%   332     0.6    19%  0.01   0.4%  comp.human-factors 
 487  55000   266   78%   143     0.2    17%  0.00   0.4%  comp.windows.news 
 488  55000   265   79%   290     0.4    22%  0.01   0.4%  comp.unix.bsd 
 489  54000   436   47%  2049   181.6     4%  1.70   0.7%  alt.binaries.sounds.music 
 490  54000   423   48%  1168     1.1    26%  0.01   0.7%  alt.1d 
 491  54000   371   56%  3180     2.1    50%  0.02   0.6%  alt.stupidity 
 492  54000   347   59%  9331    16.4     2%  0.20   0.6%  rec.arts.sf.tv.babylon5 
 493  54000   342   60%   750     0.9    55%  0.01   0.5%  alt.privacy 
 494  54000   313   66%  1959     2.5    54%  0.03   0.5%  talk.environment 
 495  54000   304   68%  5839     9.6     9%  0.13   0.5%  soc.culture.soviet 
 496  54000   298   69%  6817    19.1     7%  0.27   0.5%  soc.culture.turkish 
 497  54000   297   69%  1826     2.7    12%  0.04   0.5%  rec.bicycles.misc 
 498  54000   296   69%  1943     1.9    79%  0.03   0.5%  soc.rights.human 
 499  54000   292   71%  3201     4.7     3%  0.07   0.5%  rec.audio.car 
 500  54000   291   71%     9     0.1    22%  0.00   0.5%  rec.humor.oracle 
 501  54000   281   74%  1865     2.0     3%  0.03   0.4%  rec.radio.swap 
 502  54000   268   77%   267     0.9     6%  0.01   0.4%  comp.lang.prolog 
 503  54000   268   77%    11     0.0     0%  0.00   0.4%  comp.bugs.misc 
 504  54000   257   80%    50     0.1    19%  0.00   0.4%  comp.unix.large 
 505  54000   256   80%    37     0.1    20%  0.00   0.4%  comp.org.usenix 
 506  54000   248   82%    34     0.0    63%  0.00   0.4%  news.software.notes 
 507  53000   697   28%  1924    11.3    15%  0.07   1.1%  alt.sex.erotica.marketplace 
 508  53000   412   48%   544    19.5     1%  0.20   0.7%  alt.binaries.pictures.fractals 
 509  53000   355   56%  4768     5.0    64%  0.06   0.6%  alt.politics.homosexuality 
 510  53000   341   60%   682     2.5     0%  0.03   0.5%  comp.internet.net-happenings 
 511  53000   314   64%  2663     4.1    10%  0.05   0.5%  rec.music.makers.guitar.tablature 
 512  53000   309   65%  3756     5.1     9%  0.07   0.5%  rec.music.makers.synth 
 513  53000   299   68%   147     1.3    25%  0.02   0.5%  rec.music.info 
 514  53000   296   68%   771     1.0    11%  0.01   0.5%  sci.image.processing 
 515  53000   289   70%  2314     2.8    21%  0.04   0.5%  comp.os.os2.bugs 
 516  53000   288   69%  1828     2.3    23%  0.03   0.5%  soc.culture.nordic 
 517  53000   282   71%  3272     4.8    17%  0.07   0.5%  rec.aquaria 
 518  53000   270   75%  1392     2.6     1%  0.04   0.4%  comp.sys.hp48 
 519  53000   270   75%  1158     1.9    13%  0.03   0.4%  misc.rural 
 520  53000   268   75%   801     1.2    22%  0.02   0.4%  sci.lang.japan 
 521  53000   267   75%   324     0.5    11%  0.01   0.4%  comp.arch.storage 
 522  53000   263   77%  2313     3.4     2%  0.05   0.4%  comp.sys.atari.st 
 523  53000   261   77%   185     0.2    43%  0.00   0.4%  comp.unix.pc-clone.32bit 
 524  53000   249   81%    16     0.3    13%  0.00   0.4%  comp.sources.bugs 
 525  52000   351   56%  6849     3.4    69%  0.04   0.6%  alt.religion.kibology 
 526  52000   316   63%     -       -      -     -   0.5%  sci.answers 
 527  52000   298   67%  2596     4.0    18%  0.06   0.5%  rec.music.marketplace 
 528  52000   294   68%  2751     3.9     8%  0.06   0.5%  rec.bicycles.marketplace 
 529  52000   286   70%  1457     3.2    28%  0.05   0.5%  soc.culture.arabic 
 530  52000   285   70%  1067     1.7     3%  0.02   0.5%  comp.sys.ibm.pc.demos 
 531  52000   285   69%  5913    10.2     1%  0.15   0.5%  rec.sport.pro-wrestling 
 532  52000   284   70%  3279     5.3     2%  0.08   0.5%  rec.autos.vw 
 533  52000   283   70%  1478     1.9    24%  0.03   0.5%  sci.med.nutrition 
 534  52000   275   72%  4434     8.0     2%  0.12   0.4%  rec.arts.drwho 
 535  52000   246   81%   128     0.1    13%  0.00   0.4%  comp.protocols.misc 
 536  51000   656   29%     -       -      -     -   1.0%  alt.society.cu-digest 
 537  51000   557   35%  1301     2.0    26%  0.01   0.9%  alt.sex.services 
 538  51000   340   57%  2365     2.8    20%  0.03   0.5%  comp.os.linux.setup 
 539  51000   320   61%  2060     3.0    17%  0.04   0.5%  misc.invest.funds 
 540  51000   289   68%  1492     1.9    26%  0.03   0.5%  comp.os.ms-windows.networking.tcp-ip 
 541  51000   286   68%  1878     3.0    23%  0.04   0.5%  soc.culture.australian 
 542  51000   272   71%  2950     3.7    14%  0.06   0.4%  comp.os.ms-windows.nt.setup 
 543  51000   257   76%   469     0.4    66%  0.01   0.4%  sci.edu 
 544  51000   257   76%     9     0.3     0%  0.00   0.4%  comp.ai.nlang-know-rep 
 545  50300   341   56%   806     1.3     9%  0.02   0.5%  alt.artcom 
 546  50000   449   42%  6724   207.9     5%  1.90   0.7%  alt.binaries.pictures.erotica.male 
 547  50000   379   50%  2087     2.3     6%  0.03   0.6%  alt.personals.bondage 
 548  50000   356   53%     -       -      -     -   0.6%  alt.guitar.tabs 
 549  50000   343   56%  2107     2.9     7%  0.04   0.5%  alt.skinheads 
 550  50000   325   59%  2545     2.0    44%  0.03   0.5%  alt.fan.monty-python 
 551  50000   281   68%  1206     2.8    28%  0.04   0.4%  talk.religion.newage 
 552  50000   281   67%  3828     6.7     4%  0.10   0.4%  rec.org.mensa 
 553  50000   280   68%  2725     5.4     3%  0.08   0.4%  rec.sport.cricket 
 554  50000   274   70%   450     1.2    18%  0.02   0.4%  comp.ai.genetic 
 555  50000   264   71%  4054     6.4     2%  0.10   0.4%  rec.equestrian 
 556  50000   261   72%  2591     2.5    52%  0.04   0.4%  comp.sys.mac.advocacy 
 557  50000   250   76%  1683     2.5     7%  0.04   0.4%  comp.sys.amiga.programmer 
 558  50000   247   78%   120     0.1    37%  0.00   0.4%  comp.os.mach 
 559  50000   246   77%   109     0.4    25%  0.01   0.4%  comp.lsi 
 560  50000   241   79%   137     0.1    34%  0.00   0.4%  comp.sys.misc 
 561  49000   346   54%  5666     7.4     7%  0.09   0.6%  alt.winsock 
 562  49000   282   67%  5356    10.8    29%  0.16   0.5%  talk.origins 
 563  49000   273   69%  6227    10.5     3%  0.16   0.4%  rec.music.christian 
 564  49000   261   72%  3952     5.8     1%  0.09   0.4%  rec.models.rc 
 565  49000   253   74%   993     1.6    13%  0.03   0.4%  gnu.emacs.help 
 566  49000   244   77%    43     0.1    56%  0.00   0.4%  comp.cog-eng 
 567  49000   244   76%   201     0.3    35%  0.01   0.4%  comp.databases.theory 
 568  49000   241   77%   139     0.2    26%  0.00   0.4%  comp.windows.open-look 
 569  49000   240   77%    36     0.0    12%  0.00   0.4%  comp.mail.multi-media 
 570  49000   238   78%  1039     1.9     7%  0.03   0.4%  comp.databases.informix 
 571  48000   349   53%  2503     3.2     4%  0.04   0.6%  alt.fan.letterman 
 572  48000   331   55%  3806     5.0    13%  0.06   0.5%  alt.angst 
 573  48000   282   64%  2028     3.0     3%  0.04   0.5%  rec.radio.scanner 
 574  48000   280   65%  2033     2.6    10%  0.04   0.4%  rec.travel.marketplace 
 575  48000   264   69%  3369     4.7     3%  0.07   0.4%  rec.climbing 
 576  48000   260   70%  1819     2.6     1%  0.04   0.4%  rec.running 
 577  48000   257   71%  3646     6.2     1%  0.10   0.4%  rec.org.sca 
 578  48000   251   73%   657     1.2     2%  0.02   0.4%  comp.apps.spreadsheets 
 579  48000   243   76%    28     0.1     0%  0.00   0.4%  comp.lang.visual 
 580  48000   237   78%    92     0.4     0%  0.01   0.4%  comp.os.research 
 581  48000   233   78%   237     0.5     3%  0.01   0.4%  comp.sys.m68k 
 582  47000   350   51%   290     0.3    30%  0.00   0.6%  rec.travel 
 583  47000   325   55%  2792     3.6     6%  0.05   0.5%  rec.travel.usa-canada 
 584  47000   318   56%  3645     4.2    17%  0.05   0.5%  alt.guitar 
 585  47000   297   61%  4029     5.3    18%  0.07   0.5%  rec.autos.misc 
 586  47000   291   62% 12391    64.8     3%  0.93   0.5%  alt.test 
 587  47000   278   65%  1254     1.9     8%  0.03   0.4%  comp.graphics.raytracing 
 588  47000   277   64%    17     0.2    44%  0.00   0.4%  rec.games.mud.announce 
 589  47000   270   66%  1991     2.5     7%  0.04   0.4%  rec.antiques 
 590  47000   269   67%   892     1.0    19%  0.02   0.4%  comp.os.ms-windows.apps.misc 
 591  47000   267   67%   525     0.4    48%  0.01   0.4%  comp.publish.cdrom.multimedia 
 592  47000   264   68%  1951     3.5     2%  0.05   0.4%  rec.sport.tennis 
 593  47000   259   69%   885     1.7    28%  0.03   0.4%  soc.culture.latin-america 
 594  47000   255   70%  2570     3.7     2%  0.06   0.4%  rec.music.country.western 
 595  47000   254   71%   375     0.8    18%  0.01   0.4%  comp.databases.object 
 596  47000   248   72%   278     0.4    17%  0.01   0.4%  rec.sport.misc 
 597  47000   246   73%   151     0.1    53%  0.00   0.4%  rec.misc 
 598  47000   244   73%   211     0.2    36%  0.00   0.4%  rec.arts.misc 
 599  47000   235   77%   143     0.4     0%  0.01   0.4%  comp.simulation 
 600  47000   234   76%   128     0.4     5%  0.01   0.4%  comp.lang.functional 
 601  46000   319   55%  2190     3.9    27%  0.05   0.5%  alt.magick 
 602  46000   298   59%  2066     2.8    18%  0.04   0.5%  alt.peeves 
 603  46000   257   68%  3502    12.4     4%  0.20   0.4%  rec.arts.comics.marketplace 
 604  46000   253   70%   717     0.9     8%  0.01   0.4%  comp.sys.ibm.pc.hardware.networking 
 605  46000   251   70%  1795     2.3     4%  0.04   0.4%  rec.boats.paddle 
 606  46000   246   71%  1191     1.4    15%  0.02   0.4%  comp.os.os2.multimedia 
 607  46000   242   72%  2856     2.7     1%  0.05   0.4%  news.groups.questions 
 608  46000   237   75%   171     0.3     2%  0.00   0.4%  sci.aeronautics 
 609  46000   237   73%    91     0.8    20%  0.01   0.4%  gnu.emacs.sources 
 610  46000   234   74%   861     1.1     8%  0.02   0.4%  comp.sys.amiga.applications 
 611  46000   230   76%  1640     2.6     1%  0.05   0.4%  comp.sys.apple2 
 612  46000   230   76%   949     2.0    11%  0.04   0.4%  sci.physics.fusion 
 613  46000   229   77%   101     0.3    14%  0.01   0.4%  comp.org.acm 
 614  46000   225   79%   281     0.3    10%  0.01   0.4%  comp.text.desktop 
 615  46000   224   78%  1585     2.9     3%  0.05   0.4%  comp.sys.cbm 
 616  46000   218   80%   126     0.3    10%  0.00   0.3%  comp.mail.mh 
 617  45000   459   37%   781    11.2     5%  0.10   0.7%  alt.amazon-women.admirers 
 618  45000   305   56%  1680     2.0    32%  0.03   0.5%  alt.california 
 619  45000   302   56%  2872     7.0     6%  0.10   0.5%  alt.astrology 
 620  45000   296   57%  2186     2.7    21%  0.04   0.5%  comp.os.linux.hardware 
 621  45000   259   66%   763     1.0    10%  0.02   0.4%  comp.os.ms-windows.apps.comm 
 622  45000   258   67%  2812    11.0     7%  0.18   0.4%  soc.culture.iranian 
 623  45000   245   71%   523     0.5    28%  0.01   0.4%  rec.video.releases 
 624  45000   243   71%  3630     5.0     5%  0.09   0.4%  rec.audio.pro 
 625  45000   243   71%   904     1.1     5%  0.02   0.4%  rec.food.restaurants 
 626  45000   241   71%  1372     2.9     3%  0.05   0.4%  sci.archaeology 
 627  45000   241   70%   142     0.2    40%  0.00   0.4%  soc.misc 
 628  45000   236   73%   333     0.9     0%  0.02   0.4%  sci.virtual-worlds 
 629  45000   234   73%  1067     1.6    13%  0.03   0.4%  sci.geo.geology 
 630  45000   232   74%    10     0.2     0%  0.00   0.4%  comp.sys.amiga.reviews 
 631  45000   228   75%   873     1.1     7%  0.02   0.4%  comp.sys.amiga.graphics 
 632  45000   225   77%   282     0.5     6%  0.01   0.4%  comp.lang.eiffel 
 633  45000   225   76%   307     0.2    52%  0.00   0.4%  comp.unix.sys5.r4 
 634  45000   223   78%   258     0.5    18%  0.01   0.4%  comp.lang.scheme 
 635  45000   216   80%   267     0.4     9%  0.01   0.3%  comp.protocols.appletalk 
 636  45000   212   81%   451    10.6     0%  0.21   0.3%  comp.mail.maps 
 637  44000   470   36%  1168     1.6     7%  0.01   0.8%  alt.sex.strip-clubs 
 638  44000   313   54%  6729     5.9    65%  0.08   0.5%  alt.feminism 
 639  44000   295   57%   259     0.4    45%  0.01   0.5%  alt.comp.acad-freedom.talk 
 640  44000   291   58%  2818     3.9    16%  0.06   0.5%  alt.usage.english 
 641  44000   291   58%  2197     2.9    15%  0.04   0.5%  comp.os.linux.x 
 642  44000   291   57%  2013     2.7    13%  0.04   0.5%  comp.os.linux.networking 
 643  44000   282   60%   242     0.2    72%  0.00   0.5%  comp.sys.mac.programmer 
 644  44000   277   60%   711     0.6    84%  0.01   0.4%  alt.individualism 
 645  44000   254   66%  1333     1.6    15%  0.03   0.4%  comp.os.ms-windows.apps.utilities 
 646  44000   254   66%   881     0.8    33%  0.01   0.4%  comp.os.ms-windows.networking.windows 
 647  44000   249   67%  1361     3.7    16%  0.06   0.4%  talk.politics.mideast 
 648  44000   248   68%  2818     3.9     5%  0.07   0.4%  rec.bicycles.tech 
 649  44000   241   70%  1958     3.2    11%  0.06   0.4%  comp.sys.hp.hpux 
 650  44000   234   72%   853     0.6    74%  0.01   0.4%  misc.legal.computing 
 651  44000   234   71%  2080     3.0     1%  0.05   0.4%  rec.music.dylan 
 652  44000   232   72%   621     0.7    21%  0.01   0.4%  sci.engr.chem 
 653  44000   231   72%    34     0.1     9%  0.00   0.4%  comp.compression.research 
 654  44000   227   74%   662     1.5     1%  0.03   0.4%  rec.games.go 
 655  44000   226   75%   219     0.5     2%  0.01   0.4%  gnu.utils.bug 
 656  44000   218   77%  1308     1.7     5%  0.03   0.3%  comp.sys.palmtops 
 657  44000   216   78%   627     1.5     0%  0.03   0.3%  comp.lang.forth 
 658  44000   215   79%    69     0.1     6%  0.00   0.3%  comp.std.internat 
 659  44000   213   79%   124     0.2     9%  0.00   0.3%  comp.protocols.iso 
 660  44000   208   80%   206     0.3    16%  0.01   0.3%  comp.unix.xenix.sco 
 661  43000   512   32%   655    41.4     4%  0.34   0.8%  alt.binaries.sounds.erotica 
 662  43000   326   50%  2771     2.6    61%  0.03   0.5%  alt.abortion.inequity 
 663  43000   302   54%  1201     1.0    41%  0.01   0.5%  alt.personals.misc 
 664  43000   296   55%  1962     4.7     8%  0.07   0.5%  alt.sexual.abuse.recovery 
 665  43000   294   55%  3716     4.8     4%  0.07   0.5%  rec.travel.europe 
 666  43000   291   56%   390     0.5    13%  0.01   0.5%  alt.exotic-music 
 667  43000   275   60%  1095     3.1    14%  0.05   0.4%  alt.postmodern 
